Accuracy,Precision,Recall,F1 Score,ROC-AUC,Model,Threshold
0.6709718960684796,0.3248352526126606,0.6282587705181848,0.42824861236041334,0.70864569295783,Random Forest,0.3
0.7071938994520617,0.34369003388723307,0.5418731895719343,0.42060557609673227,0.7049220926429528,Gradient Boosting,0.4
0.658081458475368,0.3139441203957333,0.6271000965561635,0.41841687067817723,0.7023108164199637,Logistic Regression,0.5
0.5851576900739843,0.285855564071501,0.7442549082716446,0.41306134114536813,0.7049220926429528,Gradient Boosting,0.3
0.5304522384667828,0.26709971608018584,0.7993562922433215,0.40040627468682993,0.7023108164199637,Logistic Regression,0.4
0.5068681665530389,0.2623070083259235,0.8355326681686515,0.399267906304311,0.70864569295783,Random Forest,0.2
0.7588692775799813,0.38831787415392327,0.3988413260379788,0.3935092566130005,0.70864569295783,Random Forest,0.4
0.41268338257202736,0.23840802404511838,0.908850981654329,0.3777305135305055,0.7049220926429528,Gradient Boosting,0.2
0.38709188697825925,0.23215357902082015,0.9208883167042163,0.3708235050156821,0.7023108164199637,Logistic Regression,0.3
0.7732368759942428,0.4033774095905687,0.32597360798197617,0.36056819395492895,0.7049220926429528,Gradient Boosting,0.5
0.2954195389238189,0.21420460996934257,0.9714837463791439,0.3510134781546906,0.70864569295783,Random Forest,0.1
0.26019493472716715,0.20737176873521976,0.9821692951400064,0.342441619067925,0.7023108164199637,Logistic Regression,0.2
0.2311314799383885,0.20256235411366677,0.9943353717412294,0.33656161145185365,0.7049220926429528,Gradient Boosting,0.1
0.20120950433048002,0.19694237753003022,0.9983907306083039,0.3289885352480141,0.7023108164199637,Logistic Regression,0.1
0.6944675908390778,0.27291786781277844,0.3351786289024783,0.3008609233258219,0.558654320497948,Decision Tree,0.5
0.6944675908390778,0.27291786781277844,0.3351786289024783,0.3008609233258219,0.558654320497948,Decision Tree,0.1
0.6944675908390778,0.27291786781277844,0.3351786289024783,0.3008609233258219,0.558654320497948,Decision Tree,0.2
0.6944675908390778,0.27291786781277844,0.3351786289024783,0.3008609233258219,0.558654320497948,Decision Tree,0.4
0.6944675908390778,0.27291786781277844,0.3351786289024783,0.3008609233258219,0.558654320497948,Decision Tree,0.3
0.7936772466732318,0.4453770136726682,0.21177985194721596,0.2870604659279295,0.70864569295783,Random Forest,0.5
